<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20210924;081400;73833.0000000;73835.0000000;73831.0000000;73833.0000000;226
20210924;081500;73832.0000000;73837.0000000;73831.0000000;73832.0000000;492
20210924;081600;73832.0000000;73834.0000000;73824.0000000;73824.0000000;886
20210924;081700;73824.0000000;73835.0000000;73818.0000000;73828.0000000;806
20210924;081800;73828.0000000;73834.0000000;73821.0000000;73834.0000000;253
20210924;081900;73833.0000000;73845.0000000;73831.0000000;73845.0000000;1010
20210924;082000;73843.0000000;73846.0000000;73815.0000000;73819.0000000;1025
20210924;082100;73816.0000000;73825.0000000;73816.0000000;73821.0000000;264
20210924;082200;73823.0000000;73825.0000000;73822.0000000;73822.0000000;84
20210924;082300;73824.0000000;73829.0000000;73824.0000000;73828.0000000;236
20210924;082400;73828.0000000;73837.0000000;73826.0000000;73837.0000000;679
20210924;082500;73834.0000000;73837.0000000;73830.0000000;73834.0000000;225
20210924;082600;73834.0000000;73839.0000000;73831.0000000;73837.0000000;138
20210924;082700;73836.0000000;73857.0000000;73836.0000000;73842.0000000;1820
20210924;082800;73844.0000000;73850.0000000;73834.0000000;73834.0000000;314
20210924;082900;73834.0000000;73848.0000000;73824.0000000;73824.0000000;695
20210924;083000;73824.0000000;73828.0000000;73820.0000000;73822.0000000;433
20210924;083100;73822.0000000;73824.0000000;73816.0000000;73819.0000000;446
20210924;083200;73820.0000000;73832.0000000;73818.0000000;73827.0000000;215
20210924;083300;73827.0000000;73827.0000000;73820.0000000;73822.0000000;93
20210924;083400;73822.0000000;73825.0000000;73820.0000000;73822.0000000;67
20210924;083500;73820.0000000;73826.0000000;73813.0000000;73819.0000000;296
20210924;083600;73818.0000000;73820.0000000;73813.0000000;73817.0000000;248
20210924;083700;73818.0000000;73828.0000000;73814.0000000;73826.0000000;211
20210924;083800;73822.0000000;73830.0000000;73820.0000000;73824.0000000;108
20210924;083900;73829.0000000;73831.0000000;73823.0000000;73824.0000000;147
20210924;084000;73822.0000000;73825.0000000;73813.0000000;73817.0000000;307
20210924;084100;73819.0000000;73819.0000000;73815.0000000;73816.0000000;395
20210924;084200;73816.0000000;73819.0000000;73813.0000000;73819.0000000;508
20210924;084300;73817.0000000;73820.0000000;73816.0000000;73820.0000000;98
20210924;084400;73820.0000000;73839.0000000;73820.0000000;73839.0000000;346
20210924;084500;73837.0000000;73842.0000000;73833.0000000;73835.0000000;369
20210924;084600;73834.0000000;73878.0000000;73832.0000000;73849.0000000;3551
20210924;084700;73849.0000000;73865.0000000;73842.0000000;73863.0000000;1099
20210924;084800;73865.0000000;73866.0000000;73852.0000000;73855.0000000;1329
20210924;084900;73852.0000000;73854.0000000;73840.0000000;73842.0000000;618
20210924;085000;73840.0000000;73842.0000000;73833.0000000;73835.0000000;744
20210924;085100;73837.0000000;73837.0000000;73821.0000000;73826.0000000;915
20210924;085200;73827.0000000;73827.0000000;73819.0000000;73823.0000000;365
20210924;085300;73821.0000000;73832.0000000;73821.0000000;73825.0000000;296
20210924;085400;73825.0000000;73829.0000000;73823.0000000;73825.0000000;334
20210924;085500;73827.0000000;73830.0000000;73825.0000000;73830.0000000;170
20210924;085600;73829.0000000;73829.0000000;73823.0000000;73825.0000000;214
20210924;085700;73825.0000000;73827.0000000;73820.0000000;73820.0000000;210
20210924;085800;73820.0000000;73824.0000000;73815.0000000;73822.0000000;1306
20210924;085900;73823.0000000;73831.0000000;73820.0000000;73824.0000000;462
20210924;090000;73824.0000000;73832.0000000;73816.0000000;73816.0000000;901
20210924;090100;73816.0000000;73820.0000000;73806.0000000;73816.0000000;1369
20210924;090200;73819.0000000;73819.0000000;73809.0000000;73809.0000000;382
20210924;090300;73812.0000000;73830.0000000;73809.0000000;73826.0000000;504
20210924;090400;73822.0000000;73824.0000000;73816.0000000;73816.0000000;304
20210924;090500;73815.0000000;73836.0000000;73814.0000000;73828.0000000;1042
20210924;090600;73830.0000000;73839.0000000;73822.0000000;73831.0000000;848
20210924;090700;73832.0000000;73832.0000000;73817.0000000;73822.0000000;424
20210924;090800;73824.0000000;73830.0000000;73822.0000000;73828.0000000;164
20210924;090900;73827.0000000;73837.0000000;73826.0000000;73830.0000000;1586
20210924;091000;73829.0000000;73836.0000000;73825.0000000;73827.0000000;520
20210924;091100;73826.0000000;73831.0000000;73814.0000000;73818.0000000;737
20210924;091200;73816.0000000;73827.0000000;73814.0000000;73823.0000000;1499
20210924;091300;73828.0000000;73857.0000000;73822.0000000;73853.0000000;4129
20210924;091400;73852.0000000;73870.0000000;73846.0000000;73865.0000000;3690
20210924;091500;73865.0000000;73874.0000000;73864.0000000;73872.0000000;2697
20210924;091600;73870.0000000;73874.0000000;73841.0000000;73848.0000000;2124
20210924;091700;73848.0000000;73856.0000000;73845.0000000;73854.0000000;1073
20210924;091800;73856.0000000;73864.0000000;73854.0000000;73860.0000000;853
20210924;091900;73857.0000000;73863.0000000;73857.0000000;73862.0000000;482
20210924;092000;73859.0000000;73864.0000000;73858.0000000;73861.0000000;139
20210924;092100;73863.0000000;73867.0000000;73860.0000000;73864.0000000;491
20210924;092200;73864.0000000;73868.0000000;73862.0000000;73862.0000000;626
20210924;092300;73865.0000000;73866.0000000;73852.0000000;73856.0000000;2410
20210924;092400;73855.0000000;73866.0000000;73855.0000000;73865.0000000;524
20210924;092500;73863.0000000;73869.0000000;73859.0000000;73869.0000000;943
20210924;092600;73865.0000000;73870.0000000;73862.0000000;73867.0000000;449
20210924;092700;73870.0000000;73897.0000000;73867.0000000;73895.0000000;3886
20210924;092800;73895.0000000;73920.0000000;73888.0000000;73906.0000000;5082
20210924;092900;73908.0000000;73910.0000000;73902.0000000;73905.0000000;1328
20210924;093000;73907.0000000;73913.0000000;73902.0000000;73905.0000000;1177
20210924;093100;73906.0000000;73907.0000000;73900.0000000;73902.0000000;1072
20210924;093200;73902.0000000;73905.0000000;73898.0000000;73902.0000000;862
20210924;093300;73902.0000000;73908.0000000;73895.0000000;73900.0000000;802
20210924;093400;73899.0000000;73913.0000000;73898.0000000;73910.0000000;1236
20210924;093500;73910.0000000;73917.0000000;73908.0000000;73911.0000000;1717
20210924;093600;73911.0000000;73920.0000000;73911.0000000;73920.0000000;751
20210924;093700;73919.0000000;73959.0000000;73917.0000000;73952.0000000;11352
20210924;093800;73953.0000000;73958.0000000;73938.0000000;73941.0000000;3916
20210924;093900;73942.0000000;73944.0000000;73930.0000000;73940.0000000;2415
20210924;094000;73939.0000000;73950.0000000;73938.0000000;73942.0000000;3816
20210924;094100;73942.0000000;73945.0000000;73927.0000000;73932.0000000;2210
20210924;094200;73932.0000000;73933.0000000;73926.0000000;73932.0000000;1705
20210924;094300;73930.0000000;73949.0000000;73921.0000000;73945.0000000;2241
20210924;094400;73946.0000000;73950.0000000;73932.0000000;73934.0000000;1796
20210924;094500;73938.0000000;73967.0000000;73934.0000000;73956.0000000;8129
20210924;094600;73956.0000000;73964.0000000;73954.0000000;73960.0000000;1280
20210924;094700;73958.0000000;73967.0000000;73956.0000000;73961.0000000;2510
20210924;094800;73963.0000000;73972.0000000;73963.0000000;73966.0000000;1780
20210924;094900;73966.0000000;73973.0000000;73964.0000000;73973.0000000;1836
20210924;095000;73973.0000000;73989.0000000;73970.0000000;73981.0000000;4237
20210924;095100;73980.0000000;73996.0000000;73980.0000000;73984.0000000;4257
20210924;095200;73987.0000000;73987.0000000;73971.0000000;73980.0000000;2405
20210924;095300;73980.0000000;73981.0000000;73973.0000000;73973.0000000;1102
20210924;095400;73973.0000000;74008.0000000;73972.0000000;74000.0000000;6112
20210924;095500;74002.0000000;74023.0000000;74002.0000000;74011.0000000;6571
20210924;095600;74010.0000000;74021.0000000;74008.0000000;74008.0000000;2026
20210924;095700;74009.0000000;74017.0000000;74006.0000000;74009.0000000;3105
20210924;095800;74010.0000000;74019.0000000;74006.0000000;74018.0000000;5288
20210924;095900;74014.0000000;74028.0000000;74007.0000000;74009.0000000;3617
20210924;100000;74012.0000000;74063.0000000;74011.0000000;74037.0000000;22353
20210924;100100;74037.0000000;74082.0000000;74034.0000000;74059.0000000;8508
20210924;100200;74062.0000000;74106.0000000;74059.0000000;74090.0000000;9512
20210924;100300;74092.0000000;74109.0000000;74074.0000000;74085.0000000;14186
20210924;100400;74086.0000000;74093.0000000;74073.0000000;74082.0000000;10019
20210924;100500;74083.0000000;74135.0000000;74081.0000000;74105.0000000;19926
20210924;100600;74105.0000000;74150.0000000;74102.0000000;74109.0000000;13348
20210924;100700;74111.0000000;74133.0000000;74108.0000000;74115.0000000;5914
20210924;100800;74113.0000000;74123.0000000;74082.0000000;74095.0000000;18579
20210924;100900;74095.0000000;74108.0000000;74090.0000000;74095.0000000;6548
20210924;101000;74098.0000000;74120.0000000;74095.0000000;74108.0000000;7043
20210924;101100;74108.0000000;74126.0000000;74107.0000000;74113.0000000;3219
20210924;101200;74114.0000000;74120.0000000;74097.0000000;74101.0000000;4998
20210924;101300;74100.0000000;74105.0000000;74084.0000000;74086.0000000;8086
20210924;101400;74087.0000000;74096.0000000;74073.0000000;74083.0000000;11284
20210924;101500;74084.0000000;74096.0000000;74079.0000000;74082.0000000;6314
20210924;101600;74083.0000000;74092.0000000;74081.0000000;74087.0000000;4196
20210924;101700;74087.0000000;74092.0000000;74070.0000000;74077.0000000;9441
20210924;101800;74076.0000000;74095.0000000;74075.0000000;74083.0000000;8962
20210924;101900;74085.0000000;74093.0000000;74080.0000000;74088.0000000;2958
20210924;102000;74091.0000000;74100.0000000;74089.0000000;74090.0000000;9125
20210924;102100;74090.0000000;74101.0000000;74076.0000000;74087.0000000;4741
20210924;102200;74087.0000000;74099.0000000;74080.0000000;74096.0000000;4232
20210924;102300;74095.0000000;74106.0000000;74091.0000000;74106.0000000;6064
20210924;102400;74104.0000000;74108.0000000;74092.0000000;74096.0000000;6034
20210924;102500;74096.0000000;74104.0000000;74091.0000000;74096.0000000;4302
20210924;102600;74096.0000000;74099.0000000;74086.0000000;74088.0000000;2884
20210924;102700;74090.0000000;74092.0000000;74071.0000000;74076.0000000;5297
20210924;102800;74073.0000000;74077.0000000;74060.0000000;74069.0000000;5831
20210924;102900;74068.0000000;74069.0000000;74041.0000000;74047.0000000;8929
20210924;103000;74050.0000000;74069.0000000;74046.0000000;74064.0000000;8419
20210924;103100;74064.0000000;74073.0000000;74050.0000000;74056.0000000;9930
20210924;103200;74056.0000000;74057.0000000;74040.0000000;74045.0000000;3671
20210924;103300;74042.0000000;74047.0000000;74033.0000000;74034.0000000;3280
20210924;103400;74039.0000000;74064.0000000;74033.0000000;74050.0000000;5022
20210924;103500;74051.0000000;74057.0000000;74041.0000000;74055.0000000;7381
20210924;103600;74055.0000000;74068.0000000;74050.0000000;74055.0000000;4370
20210924;103700;74056.0000000;74059.0000000;74035.0000000;74037.0000000;3640
20210924;103800;74037.0000000;74041.0000000;74021.0000000;74026.0000000;6179
20210924;103900;74025.0000000;74031.0000000;74021.0000000;74031.0000000;3799
20210924;104000;74031.0000000;74048.0000000;74029.0000000;74035.0000000;5777
20210924;104100;74035.0000000;74038.0000000;74023.0000000;74029.0000000;3693
20210924;104200;74031.0000000;74036.0000000;74025.0000000;74032.0000000;1199
20210924;104300;74034.0000000;74047.0000000;74029.0000000;74047.0000000;1310
20210924;104400;74046.0000000;74048.0000000;74036.0000000;74045.0000000;1680
20210924;104500;74045.0000000;74059.0000000;74039.0000000;74055.0000000;4835
20210924;104600;74057.0000000;74058.0000000;74042.0000000;74044.0000000;1743
20210924;104700;74044.0000000;74059.0000000;74043.0000000;74055.0000000;4689
20210924;104800;74055.0000000;74066.0000000;74053.0000000;74057.0000000;2864
20210924;104900;74056.0000000;74057.0000000;74044.0000000;74056.0000000;2143
20210924;105000;74056.0000000;74057.0000000;74031.0000000;74041.0000000;5612
20210924;105100;74040.0000000;74058.0000000;74036.0000000;74044.0000000;3538
20210924;105200;74047.0000000;74049.0000000;74033.0000000;74038.0000000;2082
20210924;105300;74035.0000000;74038.0000000;74017.0000000;74019.0000000;3465
20210924;105400;74018.0000000;74022.0000000;74014.0000000;74016.0000000;6601
20210924;105500;74014.0000000;74025.0000000;74014.0000000;74020.0000000;3328
20210924;105600;74021.0000000;74029.0000000;74017.0000000;74018.0000000;1998
20210924;105700;74017.0000000;74030.0000000;74017.0000000;74023.0000000;5462
20210924;105800;74023.0000000;74031.0000000;74017.0000000;74024.0000000;2550
20210924;105900;74023.0000000;74029.0000000;74017.0000000;74027.0000000;1246
20210924;110000;74025.0000000;74056.0000000;74022.0000000;74053.0000000;12038
20210924;110100;74052.0000000;74059.0000000;74045.0000000;74053.0000000;8107
20210924;110200;74052.0000000;74058.0000000;74039.0000000;74055.0000000;8698
20210924;110300;74056.0000000;74063.0000000;74046.0000000;74057.0000000;6997
20210924;110400;74058.0000000;74067.0000000;74046.0000000;74064.0000000;9847
20210924;110500;74061.0000000;74090.0000000;74059.0000000;74082.0000000;13539
20210924;110600;74085.0000000;74086.0000000;74050.0000000;74066.0000000;9993
20210924;110700;74064.0000000;74107.0000000;74063.0000000;74101.0000000;14537
20210924;110800;74102.0000000;74117.0000000;74095.0000000;74108.0000000;9955
20210924;110900;74109.0000000;74115.0000000;74093.0000000;74100.0000000;7988
20210924;111000;74100.0000000;74105.0000000;74093.0000000;74098.0000000;4349
20210924;111100;74099.0000000;74099.0000000;74067.0000000;74069.0000000;5251
20210924;111200;74070.0000000;74074.0000000;74059.0000000;74068.0000000;3565
20210924;111300;74065.0000000;74076.0000000;74062.0000000;74068.0000000;2677
20210924;111400;74068.0000000;74068.0000000;74054.0000000;74063.0000000;2502
20210924;111500;74062.0000000;74079.0000000;74060.0000000;74076.0000000;4552
20210924;111600;74077.0000000;74079.0000000;74053.0000000;74054.0000000;1736
20210924;111700;74057.0000000;74058.0000000;74045.0000000;74050.0000000;2270
20210924;111800;74052.0000000;74057.0000000;74050.0000000;74052.0000000;2515
20210924;111900;74051.0000000;74067.0000000;74051.0000000;74063.0000000;2625
20210924;112000;74064.0000000;74065.0000000;74058.0000000;74058.0000000;613
20210924;112100;74059.0000000;74059.0000000;74034.0000000;74041.0000000;3751
20210924;112200;74043.0000000;74043.0000000;74025.0000000;74027.0000000;2410
20210924;112300;74030.0000000;74030.0000000;74015.0000000;74020.0000000;5975
20210924;112400;74021.0000000;74024.0000000;74011.0000000;74015.0000000;3301
20210924;112500;74017.0000000;74020.0000000;73991.0000000;74007.0000000;9164
20210924;112600;74006.0000000;74017.0000000;73991.0000000;73997.0000000;3389
20210924;112700;73999.0000000;74008.0000000;73991.0000000;73993.0000000;2462
20210924;112800;73991.0000000;74008.0000000;73981.0000000;74000.0000000;7684
20210924;112900;74000.0000000;74006.0000000;73997.0000000;74006.0000000;1473
20210924;113000;74003.0000000;74012.0000000;73998.0000000;73999.0000000;2007
20210924;113100;74001.0000000;74019.0000000;73998.0000000;74015.0000000;2297
20210924;113200;74015.0000000;74017.0000000;73997.0000000;74003.0000000;2760
20210924;113300;74003.0000000;74025.0000000;74003.0000000;74011.0000000;2317
20210924;113400;74013.0000000;74021.0000000;74010.0000000;74014.0000000;3105
20210924;113500;74014.0000000;74020.0000000;74008.0000000;74011.0000000;3288
20210924;113600;74011.0000000;74033.0000000;74008.0000000;74030.0000000;3442
20210924;113700;74030.0000000;74039.0000000;74030.0000000;74037.0000000;2099
20210924;113800;74035.0000000;74040.0000000;74033.0000000;74035.0000000;1243
20210924;113900;74035.0000000;74040.0000000;74027.0000000;74033.0000000;2649
20210924;114000;74035.0000000;74042.0000000;74034.0000000;74035.0000000;1295
20210924;114100;74037.0000000;74040.0000000;74033.0000000;74038.0000000;953
20210924;114200;74037.0000000;74045.0000000;74037.0000000;74039.0000000;1047
20210924;114300;74040.0000000;74046.0000000;74034.0000000;74042.0000000;1278
20210924;114400;74040.0000000;74046.0000000;74040.0000000;74042.0000000;565
20210924;114500;74044.0000000;74053.0000000;74040.0000000;74050.0000000;2309
20210924;114600;74052.0000000;74061.0000000;74046.0000000;74061.0000000;4208
20210924;114700;74059.0000000;74067.0000000;74047.0000000;74062.0000000;4082
20210924;114800;74063.0000000;74070.0000000;74056.0000000;74059.0000000;1794
20210924;114900;74060.0000000;74063.0000000;74033.0000000;74037.0000000;5276
20210924;115000;74039.0000000;74039.0000000;74026.0000000;74030.0000000;5086
20210924;115100;74029.0000000;74036.0000000;74020.0000000;74029.0000000;2746
20210924;115200;74028.0000000;74036.0000000;74027.0000000;74031.0000000;436
20210924;115300;74031.0000000;74033.0000000;74013.0000000;74018.0000000;1595
20210924;115400;74019.0000000;74021.0000000;74008.0000000;74017.0000000;1171
20210924;115500;74013.0000000;74027.0000000;74011.0000000;74026.0000000;1788
20210924;115600;74026.0000000;74032.0000000;74019.0000000;74024.0000000;1383
20210924;115700;74025.0000000;74027.0000000;74016.0000000;74017.0000000;735
20210924;115800;74017.0000000;74027.0000000;74008.0000000;74011.0000000;3322
20210924;115900;74008.0000000;74015.0000000;74003.0000000;74012.0000000;3144
20210924;120000;74012.0000000;74041.0000000;74007.0000000;74040.0000000;7254
20210924;120100;74038.0000000;74050.0000000;74038.0000000;74044.0000000;5332
20210924;120200;74045.0000000;74047.0000000;74035.0000000;74041.0000000;2107
20210924;120300;74044.0000000;74047.0000000;74036.0000000;74044.0000000;1571
20210924;120400;74046.0000000;74052.0000000;74042.0000000;74047.0000000;1818
20210924;120500;74049.0000000;74052.0000000;74043.0000000;74047.0000000;2102
20210924;120600;74047.0000000;74053.0000000;74044.0000000;74048.0000000;1542
20210924;120700;74047.0000000;74048.0000000;74021.0000000;74030.0000000;2759
20210924;120800;74032.0000000;74033.0000000;74012.0000000;74014.0000000;2546
20210924;120900;74015.0000000;74024.0000000;74011.0000000;74022.0000000;1859
20210924;121000;74022.0000000;74028.0000000;74022.0000000;74024.0000000;290
20210924;121100;74024.0000000;74028.0000000;74022.0000000;74026.0000000;600
20210924;121200;74029.0000000;74030.0000000;74021.0000000;74024.0000000;546
20210924;121300;74028.0000000;74031.0000000;74022.0000000;74027.0000000;817
20210924;121400;74025.0000000;74034.0000000;74021.0000000;74034.0000000;807
20210924;121500;74032.0000000;74038.0000000;74030.0000000;74036.0000000;2016
20210924;121600;74035.0000000;74036.0000000;74028.0000000;74030.0000000;608
20210924;121700;74031.0000000;74036.0000000;74025.0000000;74025.0000000;591
20210924;121800;74025.0000000;74030.0000000;74020.0000000;74029.0000000;723
20210924;121900;74027.0000000;74034.0000000;74025.0000000;74031.0000000;636
20210924;122000;74033.0000000;74033.0000000;74013.0000000;74025.0000000;1135
20210924;122100;74022.0000000;74028.0000000;74016.0000000;74028.0000000;738
20210924;122200;74024.0000000;74026.0000000;74007.0000000;74016.0000000;1575
20210924;122300;74016.0000000;74026.0000000;74013.0000000;74016.0000000;2012
20210924;122400;74018.0000000;74018.0000000;73988.0000000;73991.0000000;7090
20210924;122500;73991.0000000;73991.0000000;73971.0000000;73980.0000000;6499
20210924;122600;73980.0000000;73984.0000000;73962.0000000;73972.0000000;5537
20210924;122700;73972.0000000;74000.0000000;73967.0000000;74000.0000000;3204
20210924;122800;73997.0000000;74004.0000000;73994.0000000;74003.0000000;1993
20210924;122900;74003.0000000;74007.0000000;73991.0000000;74000.0000000;3143
20210924;123000;74000.0000000;74014.0000000;73995.0000000;74010.0000000;3290
20210924;123100;74009.0000000;74013.0000000;74005.0000000;74012.0000000;1213
20210924;123200;74010.0000000;74018.0000000;74003.0000000;74007.0000000;1833
20210924;123300;74007.0000000;74009.0000000;73985.0000000;73985.0000000;2053
20210924;123400;73985.0000000;73992.0000000;73976.0000000;73977.0000000;2057
20210924;123500;73977.0000000;73985.0000000;73970.0000000;73978.0000000;3628
20210924;123600;73979.0000000;73979.0000000;73955.0000000;73964.0000000;8152
20210924;123700;73966.0000000;73972.0000000;73956.0000000;73962.0000000;989
20210924;123800;73962.0000000;73963.0000000;73947.0000000;73953.0000000;3138
20210924;123900;73953.0000000;73954.0000000;73930.0000000;73932.0000000;5174
20210924;124000;73932.0000000;73939.0000000;73928.0000000;73930.0000000;5596
20210924;124100;73931.0000000;73935.0000000;73920.0000000;73935.0000000;4882
20210924;124200;73935.0000000;73949.0000000;73930.0000000;73938.0000000;5474
20210924;124300;73940.0000000;73954.0000000;73937.0000000;73952.0000000;1370
