<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211011;073300;185630.0000000;185670.0000000;185620.0000000;185660.0000000;175
20211011;073400;185670.0000000;185680.0000000;185640.0000000;185640.0000000;191
20211011;073500;185650.0000000;185660.0000000;185630.0000000;185660.0000000;118
20211011;073600;185660.0000000;185690.0000000;185660.0000000;185690.0000000;147
20211011;073700;185690.0000000;185730.0000000;185680.0000000;185730.0000000;466
20211011;073800;185720.0000000;185750.0000000;185720.0000000;185740.0000000;254
20211011;073900;185730.0000000;185750.0000000;185730.0000000;185750.0000000;144
20211011;074000;185750.0000000;185760.0000000;185730.0000000;185730.0000000;153
20211011;074100;185730.0000000;185740.0000000;185640.0000000;185660.0000000;491
20211011;074200;185650.0000000;185660.0000000;185580.0000000;185600.0000000;299
20211011;074300;185590.0000000;185630.0000000;185590.0000000;185630.0000000;88
20211011;074400;185630.0000000;185680.0000000;185620.0000000;185660.0000000;86
20211011;074500;185660.0000000;185730.0000000;185650.0000000;185730.0000000;171
20211011;074600;185730.0000000;185740.0000000;185680.0000000;185680.0000000;125
20211011;074700;185690.0000000;185700.0000000;185670.0000000;185680.0000000;99
20211011;074800;185680.0000000;185690.0000000;185660.0000000;185660.0000000;67
20211011;074900;185650.0000000;185660.0000000;185600.0000000;185600.0000000;245
20211011;075000;185600.0000000;185600.0000000;185520.0000000;185520.0000000;275
20211011;075100;185520.0000000;185550.0000000;185500.0000000;185550.0000000;184
20211011;075200;185560.0000000;185580.0000000;185550.0000000;185570.0000000;39
20211011;075300;185570.0000000;185580.0000000;185560.0000000;185570.0000000;52
20211011;075400;185560.0000000;185580.0000000;185550.0000000;185570.0000000;48
20211011;075500;185570.0000000;185610.0000000;185550.0000000;185610.0000000;147
20211011;075600;185610.0000000;185610.0000000;185560.0000000;185590.0000000;72
20211011;075700;185590.0000000;185660.0000000;185590.0000000;185630.0000000;159
20211011;075800;185640.0000000;185650.0000000;185600.0000000;185610.0000000;99
20211011;075900;185600.0000000;185600.0000000;185550.0000000;185590.0000000;84
20211011;080000;185610.0000000;185630.0000000;185590.0000000;185630.0000000;89
20211011;080100;185620.0000000;185640.0000000;185600.0000000;185600.0000000;84
20211011;080200;185600.0000000;185630.0000000;185560.0000000;185630.0000000;905
20211011;080300;185640.0000000;185700.0000000;185620.0000000;185690.0000000;282
20211011;080400;185680.0000000;185700.0000000;185660.0000000;185690.0000000;285
20211011;080500;185700.0000000;185710.0000000;185670.0000000;185680.0000000;178
20211011;080600;185670.0000000;185690.0000000;185630.0000000;185680.0000000;107
20211011;080700;185700.0000000;185710.0000000;185690.0000000;185690.0000000;43
20211011;080800;185710.0000000;185800.0000000;185690.0000000;185750.0000000;538
20211011;080900;185760.0000000;185840.0000000;185760.0000000;185810.0000000;513
20211011;081000;185810.0000000;185840.0000000;185810.0000000;185830.0000000;228
20211011;081100;185840.0000000;185840.0000000;185770.0000000;185780.0000000;203
20211011;081200;185770.0000000;185790.0000000;185730.0000000;185730.0000000;172
20211011;081300;185740.0000000;185770.0000000;185690.0000000;185710.0000000;177
20211011;081400;185710.0000000;185770.0000000;185690.0000000;185760.0000000;106
20211011;081500;185770.0000000;185810.0000000;185760.0000000;185770.0000000;122
20211011;081600;185770.0000000;185790.0000000;185760.0000000;185770.0000000;37
20211011;081700;185770.0000000;185790.0000000;185750.0000000;185780.0000000;91
20211011;081800;185780.0000000;185800.0000000;185760.0000000;185770.0000000;42
20211011;081900;185770.0000000;185780.0000000;185740.0000000;185770.0000000;45
20211011;082000;185760.0000000;185780.0000000;185730.0000000;185760.0000000;56
20211011;082100;185750.0000000;185770.0000000;185750.0000000;185760.0000000;29
20211011;082200;185770.0000000;185770.0000000;185730.0000000;185750.0000000;39
20211011;082300;185740.0000000;185770.0000000;185730.0000000;185770.0000000;145
20211011;082400;185770.0000000;185780.0000000;185730.0000000;185750.0000000;107
20211011;082500;185750.0000000;185780.0000000;185730.0000000;185730.0000000;126
20211011;082600;185740.0000000;185790.0000000;185710.0000000;185780.0000000;166
20211011;082700;185780.0000000;185780.0000000;185750.0000000;185750.0000000;44
20211011;082800;185750.0000000;185780.0000000;185750.0000000;185780.0000000;46
20211011;082900;185770.0000000;185790.0000000;185760.0000000;185770.0000000;78
20211011;083000;185770.0000000;185820.0000000;185770.0000000;185800.0000000;185
20211011;083100;185790.0000000;185840.0000000;185780.0000000;185840.0000000;139
20211011;083200;185840.0000000;185850.0000000;185820.0000000;185830.0000000;360
20211011;083300;185840.0000000;185840.0000000;185770.0000000;185770.0000000;156
20211011;083400;185770.0000000;185840.0000000;185770.0000000;185830.0000000;101
20211011;083500;185830.0000000;185900.0000000;185830.0000000;185880.0000000;557
20211011;083600;185880.0000000;185890.0000000;185870.0000000;185880.0000000;96
20211011;083700;185880.0000000;185910.0000000;185830.0000000;185840.0000000;368
20211011;083800;185840.0000000;185850.0000000;185810.0000000;185840.0000000;148
20211011;083900;185840.0000000;185850.0000000;185810.0000000;185810.0000000;85
20211011;084000;185810.0000000;185810.0000000;185760.0000000;185770.0000000;107
20211011;084100;185760.0000000;185800.0000000;185760.0000000;185790.0000000;49
20211011;084200;185800.0000000;185800.0000000;185780.0000000;185790.0000000;17
20211011;084300;185800.0000000;185850.0000000;185790.0000000;185840.0000000;105
20211011;084400;185840.0000000;185870.0000000;185810.0000000;185860.0000000;141
20211011;084500;185850.0000000;185880.0000000;185830.0000000;185860.0000000;182
20211011;084600;185860.0000000;185890.0000000;185860.0000000;185880.0000000;80
20211011;084700;185880.0000000;185900.0000000;185870.0000000;185900.0000000;197
20211011;084800;185900.0000000;185920.0000000;185870.0000000;185910.0000000;297
20211011;084900;185910.0000000;185920.0000000;185900.0000000;185920.0000000;95
20211011;085000;185920.0000000;185950.0000000;185910.0000000;185940.0000000;147
