<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20210909;233000;73077.0000000;73080.0000000;73071.0000000;73071.0000000;361
20210909;233100;73073.0000000;73078.0000000;73073.0000000;73075.0000000;21
20210909;233200;73074.0000000;73078.0000000;73072.0000000;73076.0000000;58
20210909;233300;73072.0000000;73077.0000000;73072.0000000;73077.0000000;60
20210909;233400;73077.0000000;73079.0000000;73073.0000000;73079.0000000;125
20210909;233500;73079.0000000;73084.0000000;73076.0000000;73084.0000000;295
20210909;233600;73084.0000000;73087.0000000;73078.0000000;73078.0000000;714
20210909;233700;73083.0000000;73083.0000000;73075.0000000;73079.0000000;222
20210909;233800;73082.0000000;73086.0000000;73076.0000000;73078.0000000;803
20210909;233900;73081.0000000;73085.0000000;73074.0000000;73076.0000000;394
20210909;234000;73076.0000000;73082.0000000;73074.0000000;73082.0000000;180
20210909;234100;73082.0000000;73082.0000000;73075.0000000;73080.0000000;201
20210909;234200;73080.0000000;73091.0000000;73077.0000000;73088.0000000;1426
20210909;234300;73091.0000000;73091.0000000;73084.0000000;73085.0000000;167
20210909;234400;73085.0000000;73089.0000000;73085.0000000;73086.0000000;316
20210909;234500;73084.0000000;73093.0000000;73079.0000000;73084.0000000;903
20210909;234600;73085.0000000;73089.0000000;73084.0000000;73089.0000000;476
20210909;234700;73089.0000000;73094.0000000;73085.0000000;73085.0000000;2003
20210909;234800;73088.0000000;73094.0000000;73078.0000000;73086.0000000;2168
20210909;234900;73081.0000000;73091.0000000;73069.0000000;73084.0000000;1222
20210910;070000;73068.0000000;73068.0000000;72885.0000000;72892.0000000;21119
20210910;070100;72889.0000000;72900.0000000;72883.0000000;72894.0000000;4378
20210910;070200;72894.0000000;72902.0000000;72885.0000000;72890.0000000;1833
20210910;070300;72891.0000000;72903.0000000;72884.0000000;72900.0000000;1652
20210910;070400;72900.0000000;72900.0000000;72871.0000000;72874.0000000;3712
20210910;070500;72875.0000000;72887.0000000;72861.0000000;72882.0000000;3371
20210910;070600;72882.0000000;72882.0000000;72873.0000000;72876.0000000;820
20210910;070700;72879.0000000;72900.0000000;72876.0000000;72900.0000000;1906
20210910;070800;72900.0000000;72903.0000000;72895.0000000;72898.0000000;1025
20210910;070900;72900.0000000;72903.0000000;72899.0000000;72903.0000000;832
20210910;071000;72903.0000000;72905.0000000;72898.0000000;72903.0000000;1138
20210910;071100;72903.0000000;72903.0000000;72890.0000000;72890.0000000;1808
20210910;071200;72895.0000000;72905.0000000;72888.0000000;72904.0000000;669
20210910;071300;72904.0000000;72912.0000000;72900.0000000;72911.0000000;974
20210910;071400;72911.0000000;72943.0000000;72911.0000000;72931.0000000;2547
20210910;071500;72938.0000000;72945.0000000;72927.0000000;72931.0000000;3547
20210910;071600;72930.0000000;72935.0000000;72900.0000000;72910.0000000;2965
20210910;071700;72917.0000000;72918.0000000;72911.0000000;72918.0000000;741
20210910;071800;72918.0000000;72920.0000000;72913.0000000;72913.0000000;419
20210910;071900;72916.0000000;72920.0000000;72911.0000000;72911.0000000;595
20210910;072000;72911.0000000;72937.0000000;72911.0000000;72934.0000000;1891
20210910;072100;72927.0000000;72941.0000000;72924.0000000;72927.0000000;1678
20210910;072200;72936.0000000;72937.0000000;72922.0000000;72928.0000000;920
20210910;072300;72928.0000000;72931.0000000;72910.0000000;72913.0000000;1897
20210910;072400;72917.0000000;72930.0000000;72909.0000000;72924.0000000;1421
20210910;072500;72929.0000000;72929.0000000;72921.0000000;72929.0000000;313
20210910;072600;72929.0000000;72929.0000000;72923.0000000;72928.0000000;448
20210910;072700;72929.0000000;72929.0000000;72920.0000000;72921.0000000;307
20210910;072800;72924.0000000;72924.0000000;72915.0000000;72919.0000000;234
20210910;072900;72919.0000000;72919.0000000;72912.0000000;72917.0000000;512
20210910;073000;72912.0000000;72917.0000000;72888.0000000;72898.0000000;1996
20210910;073100;72894.0000000;72899.0000000;72891.0000000;72899.0000000;570
20210910;073200;72898.0000000;72899.0000000;72894.0000000;72896.0000000;209
20210910;073300;72895.0000000;72898.0000000;72894.0000000;72898.0000000;81
20210910;073400;72898.0000000;72899.0000000;72894.0000000;72895.0000000;228
20210910;073500;72894.0000000;72895.0000000;72888.0000000;72889.0000000;274
20210910;073600;72889.0000000;72893.0000000;72888.0000000;72893.0000000;440
20210910;073700;72893.0000000;72893.0000000;72888.0000000;72891.0000000;141
20210910;073800;72892.0000000;72893.0000000;72888.0000000;72892.0000000;67
20210910;073900;72892.0000000;72892.0000000;72889.0000000;72890.0000000;95
20210910;074000;72890.0000000;72893.0000000;72888.0000000;72888.0000000;309
20210910;074100;72889.0000000;72895.0000000;72889.0000000;72891.0000000;627
20210910;074200;72893.0000000;72899.0000000;72891.0000000;72896.0000000;809
