<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200106;122400;62736.0000000;62738.0000000;62726.0000000;62736.0000000;239
20200106;122500;62734.0000000;62740.0000000;62726.0000000;62736.0000000;905
20200106;122600;62732.0000000;62739.0000000;62732.0000000;62736.0000000;67
20200106;122700;62736.0000000;62747.0000000;62732.0000000;62745.0000000;381
20200106;122800;62744.0000000;62749.0000000;62742.0000000;62745.0000000;386
20200106;122900;62744.0000000;62744.0000000;62734.0000000;62742.0000000;388
20200106;123000;62742.0000000;62750.0000000;62739.0000000;62746.0000000;626
20200106;123100;62746.0000000;62761.0000000;62744.0000000;62754.0000000;2016
20200106;123200;62752.0000000;62756.0000000;62746.0000000;62752.0000000;720
20200106;123300;62753.0000000;62754.0000000;62744.0000000;62745.0000000;497
20200106;123400;62748.0000000;62749.0000000;62738.0000000;62746.0000000;614
20200106;123500;62748.0000000;62750.0000000;62738.0000000;62742.0000000;857
20200106;123600;62744.0000000;62749.0000000;62737.0000000;62737.0000000;366
20200106;123700;62739.0000000;62739.0000000;62725.0000000;62726.0000000;932
20200106;123800;62726.0000000;62734.0000000;62712.0000000;62722.0000000;1508
20200106;123900;62716.0000000;62722.0000000;62707.0000000;62719.0000000;1830
20200106;124000;62720.0000000;62724.0000000;62713.0000000;62715.0000000;545
20200106;124100;62715.0000000;62720.0000000;62711.0000000;62711.0000000;604
20200106;124200;62711.0000000;62711.0000000;62683.0000000;62702.0000000;2239
20200106;124300;62706.0000000;62710.0000000;62695.0000000;62706.0000000;915
20200106;124400;62706.0000000;62709.0000000;62694.0000000;62698.0000000;841
20200106;124500;62697.0000000;62708.0000000;62697.0000000;62698.0000000;587
20200106;124600;62698.0000000;62702.0000000;62695.0000000;62695.0000000;425
20200106;124700;62695.0000000;62695.0000000;62670.0000000;62675.0000000;1613
20200106;124800;62676.0000000;62682.0000000;62675.0000000;62680.0000000;1066
20200106;124900;62678.0000000;62683.0000000;62661.0000000;62671.0000000;1119
20200106;125000;62669.0000000;62675.0000000;62663.0000000;62672.0000000;5021
20200106;125100;62675.0000000;62689.0000000;62675.0000000;62686.0000000;1327
20200106;125200;62687.0000000;62688.0000000;62676.0000000;62683.0000000;458
20200106;125300;62682.0000000;62690.0000000;62676.0000000;62676.0000000;792
20200106;125400;62676.0000000;62679.0000000;62670.0000000;62673.0000000;886
20200106;125500;62676.0000000;62684.0000000;62670.0000000;62681.0000000;513
20200106;125600;62680.0000000;62682.0000000;62673.0000000;62676.0000000;405
20200106;125700;62675.0000000;62679.0000000;62672.0000000;62673.0000000;324
20200106;125800;62674.0000000;62680.0000000;62670.0000000;62674.0000000;407
20200106;125900;62672.0000000;62675.0000000;62658.0000000;62670.0000000;2208
20200106;130000;62666.0000000;62669.0000000;62653.0000000;62667.0000000;1091
20200106;130100;62666.0000000;62673.0000000;62661.0000000;62663.0000000;1011
20200106;130200;62663.0000000;62665.0000000;62646.0000000;62648.0000000;2222
20200106;130300;62648.0000000;62650.0000000;62618.0000000;62632.0000000;4883
20200106;130400;62632.0000000;62632.0000000;62612.0000000;62623.0000000;1758
20200106;130500;62623.0000000;62628.0000000;62619.0000000;62626.0000000;1598
